username,original_link,tweet_id,retweets,impressions,day,link,stance,notes
TheChiefNerd,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1621280317553217537,633,60281,2023-02-02 22:52:04+00:00,https://twitter.com/TheChiefNerd/status/1621280317553217537,misleading,
mynbc15,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1621122258931691520,2368,472946,2023-02-02 12:24:00+00:00,https://twitter.com/mynbc15/status/1621122258931691520,misleading,
DrScheuch,https://www.tagesschau.de/faktenfinder/corona-studie-masken-101.html,1621550458094460929,424,77922,2023-02-03 16:45:30+00:00,https://twitter.com/DrScheuch/status/1621550458094460929,neutral,
LozzaFox,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1621513122971525120,248,58719,2023-02-03 14:17:09+00:00,https://twitter.com/LozzaFox/status/1621513122971525120,misleading,
strauss_matt,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621555085711970305,692,127023,2023-02-03 17:03:54+00:00,https://twitter.com/strauss_matt/status/1621555085711970305,misleading,
tomdabassman,https://www.berliner-zeitung.de/news/corona-masken-nutzlos-bringen-nichts-cochrane-studie-oft-falsch-interpretiert-li.313781,1621405875003867137,190,39707,2023-02-03 07:10:59+00:00,https://twitter.com/tomdabassman/status/1621405875003867137,nuanced_accurate,
CKellyUAP,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1622012506175844352,923,89318,2023-02-04 23:21:31+00:00,https://twitter.com/CKellyUAP/status/1622012506175844352,misleading,
ChanasitJonas,https://www.fr.de/wissen/wirkungslos-corona-studie-ueberrascht-masken-maskenpflicht-waren-92062735.html,1621854404998582272,661,181652,2023-02-04 12:53:17+00:00,https://twitter.com/ChanasitJonas/status/1621854404998582272,misleading,
JenniferNuzzo,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621881097452666883,369,923420,2023-02-04 14:39:21+00:00,https://twitter.com/JenniferNuzzo/status/1621881097452666883,nuanced_accurate,
KanAugust,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621746052196962304,303,139575,2023-02-04 05:42:44+00:00,https://twitter.com/KanAugust/status/1621746052196962304,misleading,
ChristinaPushaw,,1622253997238140928,219,84731,2023-02-05 15:21:07+00:00,https://twitter.com/ChristinaPushaw/status/1622253997238140928,misleading,
MZHemingway,,1622311620994023425,419,54741,2023-02-05 19:10:06+00:00,https://twitter.com/MZHemingway/status/1622311620994023425,misleading,
MaryanneDemasi,,1622215739284557826,636,754915,2023-02-05 12:49:06+00:00,https://twitter.com/MaryanneDemasi/status/1622215739284557826,misleading,
justin_hart,,1622090687150985216,1013,235878,2023-02-05 04:32:11+00:00,https://twitter.com/justin_hart/status/1622090687150985216,misleading,
DFisman,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622690337897713664,405,474051,2023-02-06 20:14:59+00:00,https://twitter.com/DFisman/status/1622690337897713664,nuanced_accurate,
DrJBhattacharya,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622655669030748160,1507,308328,2023-02-06 17:57:13+00:00,https://twitter.com/DrJBhattacharya/status/1622655669030748160,misleading,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622676327324336128,694,158310,2023-02-06 19:19:18+00:00,https://twitter.com/Globalbiosec/status/1622676327324336128,nuanced_accurate,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622722684273688581,216,47768,2023-02-06 22:23:31+00:00,https://twitter.com/Globalbiosec/status/1622722684273688581,nuanced_accurate,
aaronsibarium,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622621811799121920,6902,1020644,2023-02-06 15:42:41+00:00,https://twitter.com/aaronsibarium/status/1622621811799121920,misleading,
trishgreenhalgh,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622673877150187520,345,214079,2023-02-06 19:09:34+00:00,https://twitter.com/trishgreenhalgh/status/1622673877150187520,nuanced_accurate,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622798343192862721,250,30521,2023-02-07 03:24:09+00:00,https://twitter.com/Globalbiosec/status/1622798343192862721,nuanced_accurate,
RandPaul,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1623050330517766144,1466,250368,2023-02-07 20:05:28+00:00,https://twitter.com/RandPaul/status/1623050330517766144,misleading,
